,title_id,oscar_id
1678,tt0093351,1
1689,tt1781058,2
1840,tt0435669,1
2134,tt0026402,3
2243,tt0116477,3
2431,tt0029081,2
3167,tt2014346,1
3394,tt0051658,2
3444,tt0051658,3
3508,tt2638144,2
3559,tt2638144,3
3631,tt0054331,2
3753,tt0055614,2
3805,tt0055614,3
3988,tt0091230,1
3992,tt0346765,2
4049,tt0057590,4
4118,tt0058385,2
4173,tt0058385,4
4637,tt0063385,4
5481,tt0814295,4
5907,tt1422101,4
6113,tt0083987,4
6328,tt0086879,4
6545,tt0091763,4
6857,tt4653310,4
7291,tt0108052,4
7398,tt0109830,4
7517,tt0015643,4
7750,tt0120338,4
7862,tt0138097,4
7969,tt0169547,4
8190,tt0268978,4
8304,tt0299658,4
8530,tt0405159,4
8641,tt0115964,4
9099,tt0887912,4
9341,tt1655442,4
9462,tt1024648,4
9970,tt4975722,4
10219,tt6966692,4
10350,tt6751668,4
