,director,director_id
246,James Cruze,246
247,Alfred E. Green,247
248,Frances Marion,248
249,William C. de Mille,249
250,Albert Austin,250
251,Fritz Lang,251
252,Theodore Reed,252
253,D.W. Griffith,253
254,Tod Browning,254
255,Minoru Murata,255
256,Fred C. Newmeyer,256
257,Dimitri Buchowetzki,257
258,Lupu Pick,258
259,F.W. Murnau,259
260,George Melford,260
261,King Vidor,261
262,André Antoine,262
263,Fred Niblo,263
264,Alfred E. Green,264
265,Henry King,265
266,Lois Weber,266
267,Fritz Lang,267
268,Robert G. Vignola,268
269,Sam Wood,269
270,Fred Niblo,270
271,F.W. Murnau,271
272,George Terwilliger,272
273,Jacques Feyder,273
274,Carl Theodor Dreyer,274
275,Fred C. Newmeyer,275
276,Elmer Clifton,276
277,Irving Cummings,277
278,Erich von Stroheim,278
279,Carl Theodor Dreyer,279
280,Fred C. Newmeyer,280
281,Edward D. Venturini,281
282,Maurice Tourneur,282
283,Burton L. King,283
284,Cecil B. DeMille,284
285,Rupert Julian,285
286,Emmett J. Flynn,286
287,George Melford,287
288,Manfred Noa,288
289,F.W. Murnau,289
290,Frank Lloyd,290
291,Dimitri Buchowetzki,291
292,F.W. Murnau,292
293,Rex Ingram,293
294,Allan Dwan,294
295,Charles Bryant,295
296,Cecil B. DeMille,296
297,Arthur Robison,297
298,Henry King,298
299,Tom Forman,299
300,Albert Parker,300
301,Lynn Reynolds,301
302,Michael Curtiz,302
303,John S. Robertson,303
304,Max Linder,304
305,Chester M. Franklin,305
306,Robert Thornby,306
307,Harry B. Parkinson,307
308,Ernst Lubitsch,308
309,Robert G. Vignola,309
310,Phil Rosen,310
311,Ewald André Dupont,311
312,John Ford,312
313,Jean Epstein,313
314,James Cruze,314
315,F. Richard Jones,315
316,Mauritz Stiller,316
317,Mauritz Stiller,317
318,Wallace Worsley,318
319,Sidney Olcott,319
320,John G. Blystone,320
321,Charles Chaplin,321
322,Robert Wiene,322
323,Ernst Lubitsch,323
324,Abel Gance,324
325,Fred C. Newmeyer,325
326,Rex Ingram,326
327,Georg Wilhelm Pabst,327
328,Lambert Hillyer,328
329,Rupert Hughes,329
330,Karl Grune,330
331,Lupu Pick,331
332,Cecil B. DeMille,332
333,Edward F. Cline,333
334,Leo Birinsky,334
335,D.W. Griffith,335
336,Henry King,336
337,Tod Browning,337
338,Fred C. Newmeyer,338
339,Charles Chaplin,339
340,Allan Dwan,340
341,Yakov Protazanov,341
342,D.W. Griffith,342
343,Harry Beaumont,343
344,Frank Lloyd,344
345,Edward F. Cline,345
346,Lewis H. Moomaw,346
347,Henry Otto,347
348,Marshall Neilan,348
349,John S. Robertson,349
350,William A. Seiter,350
351,Jean Renoir,351
352,F.W. Murnau,352
353,Ernst Lubitsch,353
354,Fred C. Newmeyer,354
355,Victor Sjöström,355
356,Sidney Franklin,356
357,Fred C. Newmeyer,357
358,Marcel L'Herbier,358
359,John Ford,359
360,D.W. Griffith,360
361,E. Mason Hopper,361
362,Alexandre Volkoff,362
363,F.W. Murnau,363
364,Allan Dwan,364
365,Ernst Lubitsch,365
366,Carl Theodor Dreyer,366
367,Sidney Olcott,367
368,Donald Crisp,368
369,Lev Kuleshov,369
370,Fritz Lang,370
371,Fritz Lang,371
372,Paul Bern,372
373,Robert Wiene,373
374,Yuri Zhelyabuzhsky,374
375,René Clair,375
376,Herbert Brenon,376
377,Fred Niblo,377
378,Henry King,378
379,Frank Lloyd,379
380,Frank Borzage,380
381,Buster Keaton,381
382,Sergei M. Eisenstein,382
383,Raoul Walsh,383
384,Graham Cutts,384
385,King Vidor,385
386,King Vidor,386
387,Robert G. Vignola,387
388,King Vidor,388
389,Oscar Micheaux,389
390,Alan Hale,390
391,Sergei M. Eisenstein,391
392,Frank Borzage,392
393,Noel M. Smith,393
394,Joseph Henabery,394
395,Donald Crisp,395
396,Carl Theodor Dreyer,396
397,Clarence Brown,397
398,René Clair,398
399,Marcel L'Herbier,399
400,Fred C. Newmeyer,400
401,Georg Wilhelm Pabst,401
402,Kenji Mizoguchi,402
403,Carl Theodor Dreyer,403
404,Buster Keaton,404
405,Charles Chaplin,405
406,Clarence Brown,406
407,Erich von Stroheim,407
408,Jacques Feyder,408
409,Sidney Franklin,409
410,Pedro Sienna,410
411,Ernst Lubitsch,411
412,Monta Bell,412
413,Frank Borzage,413
414,Frank Borzage,414
415,Monta Bell,415
416,William Beaudine,416
417,David Butler,417
418,Harry O. Hoyt,418
419,Erich von Stroheim,419
420,Roland West,420
421,Tod Browning,421
422,Buntarô Futagawa,422
423,Louis J. Gasnier,423
424,Clarence G. Badger,424
425,Rupert Julian,425
426,Wesley Ruggles,426
427,Alfred Hitchcock,427
428,Julien Duvivier,428
429,Franz Osten,429
430,Monta Bell,430
431,Edward F. Cline,431
432,Walter Lang,432
433,Lynn Reynolds,433
434,Cecil B. DeMille,434
435,D.W. Griffith,435
436,Edmund Goulding,436
437,Josef von Sternberg,437
438,Buster Keaton,438
439,Leander De Cordova,439
440,John S. Robertson,440
441,H.K. Breslauer,441
442,Allan Dwan,442
443,Henry King,443
444,King Baggot,444
445,Tod Browning,445
446,George B. Seitz,446
447,Ewald André Dupont,447
448,Jacques Feyder,448
449,René Clair,449
450,Larry Semon,450
451,George Chesebro,451
452,Malcolm St. Clair,452
453,Yakov Protazanov,453
454,George W. Hill,454
455,Arthur von Gerlach,455
456,King Vidor,456
457,Roland West,457
458,Buster Keaton,458
459,Herbert Brenon,459
460,James Young,460
461,Charles Reisner,461
462,Sidney Franklin,462
463,Albert Parker,463
464,Tod Browning,464
465,John Ford,465
466,King Vidor,466
467,William A. Wellman,467
468,Jack Conway,468
469,Herbert Brenon,469
470,Alan Crosland,470
471,Alfred E. Green,471
472,Paul Sloane,472
473,Sam Taylor,473
474,F.W. Murnau,474
475,Howard Hawks,475
476,Richard Rosson,476
477,Clarence Brown,477
478,Sam Taylor,478
479,Georg Wilhelm Pabst,479
480,Lewis Seiler,480
481,Clarence G. Badger,481
482,Arnold Fanck,482
483,Harry Edwards,483
484,A. Edward Sutherland,484
485,Frank Tuttle,485
486,Clarence Brown,486
487,Teinosuke Kinugasa,487
488,Alfred Hitchcock,488
489,Frank Tuttle,489
490,Guido Brignone,490
491,Rex Ingram,491
492,Victor Fleming,492
493,Rex Ingram,493
494,Vsevolod Pudovkin,494
495,Fritz Lang,495
496,Boris Barnet,496
497,Dallas M. Fitzgerald,497
498,Amo Bek-Nazaryan,498
499,Jean Renoir,499
500,Herbert Wilcox,500
501,James Cruze,501
502,Lev Kuleshov,502
503,Yakov Protazanov,503
504,Tod Browning,504
505,Robert Wiene,505
506,Victor Sjöström,506
507,Millard Webb,507
508,John Ford,508
509,Grigoriy Kozintsev,509
510,Malcolm St. Clair,510
511,Ernst Lubitsch,511
512,Gregory La Cava,512
513,George Fitzmaurice,513
514,D.W. Griffith,514
515,William Beaudine,515
516,Frank Capra,516
517,Henrik Galeen,517
518,F.W. Murnau,518
519,Fred Niblo,519
520,John Ford,520
