,year_film,year_ceremony,ceremony,category,name,film,winner,title_id
3394,1958,1959,31,CINEMATOGRAPHY (Color),Joseph Ruttenberg,Gigi,True,tt0051658
3404,1958,1959,31,DIRECTING,Vincente Minnelli,Gigi,True,tt0051658
3444,1958,1959,31,BEST MOTION PICTURE,"Arthur Freed, Producer",Gigi,True,tt0051658
3505,1959,1960,32,CINEMATOGRAPHY (Black-and-White),William C. Mellor,The Diary of Anne Frank,True,
3508,1959,1960,32,CINEMATOGRAPHY (Color),Robert L. Surtees,Ben-Hur,True,tt2638144
3523,1959,1960,32,DIRECTING,William Wyler,Ben-Hur,True,tt2638144
3559,1959,1960,32,BEST MOTION PICTURE,"Sam Zimbalist, Producer",Ben-Hur,True,tt2638144
3626,1960,1961,33,CINEMATOGRAPHY (Black-and-White),Freddie Francis,Sons and Lovers,True,
3631,1960,1961,33,CINEMATOGRAPHY (Color),Russell Metty,Spartacus,True,tt0054331
3642,1960,1961,33,DIRECTING,Billy Wilder,The Apartment,True,
3680,1960,1961,33,BEST MOTION PICTURE,"Billy Wilder, Producer",The Apartment,True,
3746,1961,1962,34,CINEMATOGRAPHY (Black-and-White),Eugen Shuftan,The Hustler,True,
3753,1961,1962,34,CINEMATOGRAPHY (Color),Daniel L. Fapp,West Side Story,True,tt0055614
3768,1961,1962,34,DIRECTING,"Robert Wise, Jerome Robbins",West Side Story,True,tt0055614
3805,1961,1962,34,BEST MOTION PICTURE,"Robert Wise, Producer",West Side Story,True,tt0055614
3869,1962,1963,35,CINEMATOGRAPHY (Black-and-White),"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day,True,
3875,1962,1963,35,CINEMATOGRAPHY (Color),Fred A. Young,Lawrence of Arabia,True,
3890,1962,1963,35,DIRECTING,David Lean,Lawrence of Arabia,True,
3923,1962,1963,35,BEST PICTURE,"Sam Spiegel, Producer",Lawrence of Arabia,True,
3988,1963,1964,36,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Hud,True,tt0091230
3992,1963,1964,36,CINEMATOGRAPHY (Color),Leon Shamroy,Cleopatra,True,tt0346765
4010,1963,1964,36,DIRECTING,Tony Richardson,Tom Jones,True,tt0057590
